id;name_ro;name_en;code_fsj;code_auto;region_id
1;ALBA;ALBA;1;AB;7
2;ARAD;ARAD;2;AR;5
3;ARGEŞ;ARGES;3;AG;3
4;BACĂU;BACAU;4;BC;1
5;BIHOR;BIHOR;5;BH;6
6;BISTRIŢA-NĂSĂUD;BISTRITA-NASAUD;6;BN;6
7;BOTOŞANI;BOTOSANI;7;BT;1
8;BRAŞOV;BRASOV;8;BV;7
9;BRĂILA;BRAILA;9;BR;2
10;BUZĂU;BUZAU;10;BZ;2
11;CARAŞ-SEVERIN;CARAS-SEVERIN;11;CS;5
12;CLUJ;CLUJ;13;CJ;6
13;CONSTANŢA;CONSTANTA;14;CT;2
14;COVASNA;COVASNA;15;CV;7
15;DÎMBOVIŢA;DIMBOVITA;16;DB;3
16;DOLJ;DOLJ;17;DJ;4
17;GALAŢI;GALATI;18;GL;2
18;GORJ;GORJ;20;GJ;4
19;HARGHITA;HARGHITA;21;HR;7
20;HUNEDOARA;HUNEDOARA;22;HD;5
21;IALOMIŢA;IALOMITA;23;IL;3
22;IAŞI;IASI;24;IS;1
23;ILFOV;ILFOV;25;IF;8
24;MARAMUREA;MARAMURES;26;MM;6
25;MEHEDINŢI;MEHEDINTI;27;MH;4
26;MUREŞ;MURES;28;MS;7
27;NEAMŢ;NEAMT;29;NT;1
28;OLT;OLT;30;OT;4
29;PRAHOVA;PRAHOVA;31;PH;3
30;SATU MARE;SATU_MARE;32;SM;6
31;SĂLAJ;SALAJ;33;SJ;6
32;SIBIU;SIBIU;34;SB;7
33;SUCEAVA;SUCEAVA;35;SV;1
34;TELEORMAN;TELEORMAN;36;TR;3
35;TIMIŞ;TIMIS;37;TM;5
36;TULCEA;TULCEA;38;TL;2
37;VASLUI;VASLUI;39;VS;1
38;VÎLCEA;VILCEA;40;VL;4
39;VRANCEA;VRANCEA;41;VN;2
40;BUCUREŞTI;BUCURESTI;42;B;8
51;CĂLĂRAŞI;CALARASI;12;CL;3
52;GIURGIU;GIURGIU;19;GR;3
